 2015  3 18  0  0  0.00000000
01  10123.500301 -20892.401369 -12787.773732     -7.848597  8  6  3 123       
02 -21466.392237  13237.687408  -7176.277656    554.181530 11  6 10 132       
03   1619.815170 -15373.276786 -21587.053811    259.586374 12  7 13 107       
04  16900.864630 -19908.399982  -4302.746606     -9.237133  8  4  6  96       
05 -20589.291328   5466.789818  15922.897557   -265.571783 10  6  7 101       
06 -19150.574852      3.811776 -18400.655256    111.272988  8  5  8 116       
07  -2710.809571 -16359.053280  20762.533972    448.477172 10  9  7 126       
08  23022.114276  -9028.791315  -8580.888978     18.592477 10  7  7 131       
09  -7428.396025 -25345.558743   2726.283882   -115.460951  9  8  6 115       
10 -25004.610900  -9556.216208  -1514.352071   -167.560355 10  6 10 139       
11   9753.723532 -24394.943634  -3879.410436   -565.026515  6  7  5 108       
12  -5049.547177  13722.796545 -22260.836782    277.444308 10  5  7 120       
13 -12856.180108  10879.401046  20417.847360    -97.544170  8  8  9 117       
14  14323.386697  12884.237319 -18112.731153     77.976316  9  8  7 124       
15  -5404.321080  21461.797099  14360.107658   -238.271477  7  7  8 112       
16  20843.005518  -3226.937599  16311.944916   -147.179573 10 10  8 115       
17 -14034.562172 -14996.228764 -16664.944622   -161.559792 11  8  8 124       
18  17468.470449  15705.920240  13168.982722    387.086320 10  9  8 104       
19   9425.159796 -18050.611568  16619.290945   -504.273465  9  6 11  98       
20 -25697.245709  -6976.199362   -741.960236    300.714144 11  8 10 122       
21   7945.992707  14357.471144  21536.842930   -427.395599  9  8  6  78       
22  24776.990732   9569.903437   2475.846461    329.601031  6  7  7 102       
23     82.070827 -25287.030118  -7226.285489    -95.785211 11  4  9 126       
24 -12354.883047  21168.275940 -10080.929142    -45.141768  9  9  8  98       
25   9269.902343  16385.796289 -18890.452815    -11.791698  9  6  8 135       
27  13443.622994  -7975.855459  21450.409959     58.597873  8  9  8 105       
28 -21878.905611 -13760.263395   6932.216028    426.657888 12  8 11 130       
29   3638.210736  26328.393154   -698.611513    598.539966  8  7 10 107       
30 -12541.766829  -9411.987485  21434.622241    -79.227607  9  7  8 124       
31  20681.763331  -2819.406990 -16491.176809    320.901753  8  8  9 105       
